Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Civic,"(-35.285307, 149.131579)",22/05/2022 12:00:00 AM,,0.002,0.002,0.004,0,8.68,6.55,7.97,4.67,0,0,2,2,7,15,18,18,22 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 12:00:00 AM,0.011,0.002,0.003,0.008,0.77,21.36,24.62,12.11,8.93,8,9,2,3,12,24,35,35,22 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 01:00:00 AM,0.008,0.003,0.002,0.005,0.8,24.82,27.07,12.63,9.24,8,6,3,3,8,25,36,36,22 May 2022,1:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 01:00:00 AM,,0.003,0.002,0.003,0,12.44,6.82,8.13,4.83,0,0,3,3,5,16,19,19,22 May 2022,1:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 02:00:00 AM,0.009,0.001,0.002,0.004,0.81,22.84,19.96,13.11,9,9,7,1,3,7,26,36,36,22 May 2022,2:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 02:00:00 AM,,0.007,0.004,0.003,0,12.14,8.61,8.18,5.11,0,0,7,5,5,16,20,20,22 May 2022,2:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 03:00:00 AM,0.007,0.002,0.002,0.004,0.8,20.48,16.63,13.24,9.32,8,6,2,3,6,26,37,37,22 May 2022,3:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 03:00:00 AM,,0.005,0.005,0.003,0,8.09,8.66,8.13,5.36,0,0,5,6,5,16,21,21,22 May 2022,3:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 04:00:00 AM,,0.007,0.006,0.004,0,7.65,7.04,8.1,5.5,0,0,7,8,6,16,22,22,22 May 2022,4:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 04:00:00 AM,0.005,0.003,0.002,0.002,0.83,18.5,15.56,13.37,9.73,9,4,3,3,4,26,38,38,22 May 2022,4:00:00
