Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Civic,"(-35.285307, 149.131579)",23/05/2022 12:00:00 AM,,0.003,0.009,0.013,0,6.7,3.24,5.84,4.88,0,0,3,11,20,11,19,19,23 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 12:00:00 AM,0.008,0.002,0.007,0.013,0.65,13.14,7.34,10.51,8.58,7,7,2,9,21,21,34,34,23 May 2022,0:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 01:00:00 AM,0.005,0.002,0.003,0.01,0.68,14.15,8.86,10.07,7.82,7,4,2,4,16,20,31,31,23 May 2022,1:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 01:00:00 AM,,0.004,0.005,0.011,0,9.88,4.98,5.73,4.8,0,0,4,7,16,11,19,19,23 May 2022,1:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 02:00:00 AM,0.004,0.003,0.002,0.008,0.71,13.9,8.24,9.7,7.33,7,3,3,2,12,19,29,29,23 May 2022,2:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 02:00:00 AM,,0.006,0.004,0.009,0,8.99,8.92,5.6,4.81,0,0,6,6,14,11,19,19,23 May 2022,2:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 03:00:00 AM,0.003,0.002,0.002,0.006,0.73,11.1,8.27,9.31,6.99,8,2,2,3,9,18,27,27,23 May 2022,3:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 03:00:00 AM,,0.006,0.005,0.008,0,6.94,7.7,5.55,4.77,0,0,6,6,12,11,19,19,23 May 2022,3:00:00
Civic,"(-35.285307, 149.131579)",23/05/2022 04:00:00 AM,,0.008,0.006,0.007,0,4.91,5.42,5.44,4.7,0,0,8,7,11,10,18,18,23 May 2022,4:00:00
Florey,"(-35.220606, 149.043539)",23/05/2022 04:00:00 AM,0.002,0.001,0.002,0.004,0.74,11.08,7.42,9,6.65,8,1,1,2,7,18,26,26,23 May 2022,4:00:00
